City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Cabedelo,BR,2020-04-04 22:21:58,-6.98,-34.83,82.4,88,20,3.36
213,Craig,US,2020-04-04 22:22:47,40.52,-107.55,53.6,27,75,13.87
214,Moroni,KM,2020-04-04 22:18:01,-11.7,43.26,83.14,70,6,6.31
215,Saint-Pierre,RE,2020-04-04 22:22:47,-21.34,55.48,77.0,78,3,6.93
216,Sur,OM,2020-04-04 22:22:47,22.57,59.53,82.38,40,67,6.87
217,Tasiilaq,GL,2020-04-04 22:22:47,65.61,-37.64,17.6,31,10,10.29
218,Pathein,MM,2020-04-04 22:22:47,16.78,94.73,76.95,84,49,10.22
219,Flinders,AU,2020-04-04 22:22:48,-34.58,150.86,66.0,54,0,14.99
220,Port Elizabeth,ZA,2020-04-04 22:22:48,-33.92,25.57,68.0,72,8,14.99
221,Mandalgovi,MN,2020-04-04 22:22:48,45.76,106.27,39.16,29,0,4.27
222,Troitskoye,RU,2020-04-04 22:22:48,52.98,84.68,28.45,96,1,5.55
223,Sao Filipe,CV,2020-04-04 22:22:48,14.9,-24.5,73.11,76,0,16.91
224,Saint-Francois,FR,2020-04-04 22:22:48,46.42,3.91,44.6,65,0,2.24
225,Kenai,US,2020-04-04 22:22:48,60.55,-151.26,39.2,69,1,6.93
226,Manaure,CO,2020-04-04 22:22:48,11.78,-72.44,84.45,69,55,18.14
227,Pokosnoye,RU,2020-04-04 22:22:48,55.53,101.05,26.33,92,38,4.0
228,Ullapool,GB,2020-04-04 22:22:48,57.9,-5.16,45.0,74,100,3.0
229,Kodiak,US,2020-04-04 22:22:01,57.79,-152.41,53.6,27,90,8.05
230,Okhotsk,RU,2020-04-04 22:22:48,59.38,143.3,10.45,91,36,6.33
231,Severo-Kurilsk,RU,2020-04-04 22:22:49,50.68,156.12,27.97,91,0,8.39
232,Alta Floresta,BR,2020-04-04 22:18:43,-9.88,-56.09,89.6,66,40,3.36
233,Gweta,BW,2020-04-04 22:22:49,-20.18,25.23,72.7,40,53,0.31
234,Mahebourg,MU,2020-04-04 22:22:49,-20.41,57.7,78.8,78,75,8.05
235,Nouadhibou,MR,2020-04-04 22:22:49,20.93,-17.03,68.0,88,0,11.41
236,Torrejon De Ardoz,ES,2020-04-04 22:22:49,40.46,-3.47,55.99,58,100,13.87
237,Itarema,BR,2020-04-04 22:22:49,-2.92,-39.92,78.82,87,100,5.17
238,Lesnikovo,RU,2020-04-04 22:22:49,55.28,65.32,40.87,93,100,10.69
239,Leningradskiy,RU,2020-04-04 22:22:49,69.38,178.42,-0.63,89,100,17.63
240,Karratha,AU,2020-04-04 22:22:50,-20.74,116.85,80.2,70,20,2.08
241,Lebu,CL,2020-04-04 22:22:50,-37.62,-73.65,58.39,60,0,20.22
